t,x0,x1,x2,x3,x4,x5,x6,x7
0.000000000000000000e+00,1.100000023841857910e+00,1.100000023841857910e+00,1.100000023841857910e+00,1.100000023841857910e+00,1.100000023841857910e+00,1.100000023841857910e+00,1.100000023841857910e+00,1.100000023841857910e+00
1.000049989670515060e-03,1.101099967956542969e+00,1.057354450225830078e+00,1.101099967956542969e+00,1.038823485374450684e+00,1.101099967956542969e+00,1.042785167694091797e+00,1.101099967956542969e+00,1.072142004966735840e+00
2.000099979341030121e-03,1.102157354354858398e+00,1.016019701957702637e+00,1.102138757705688477e+00,9.796043634414672852e-01,1.102142810821533203e+00,9.882271885871887207e-01,1.102172136306762695e+00,1.044931888580322266e+00
3.000149969011545181e-03,1.103173375129699707e+00,9.759547710418701172e-01,1.103118419647216797e+00,9.222757816314697266e-01,1.103131055831909180e+00,9.361864924430847168e-01,1.103217124938964844e+00,1.018350720405578613e+00
4.000199958682060242e-03,1.104149341583251953e+00,9.371200799942016602e-01,1.104040741920471191e+00,8.667734265327453613e-01,1.104067206382751465e+00,8.865323066711425781e-01,1.104235529899597168e+00,9.923806190490722656e-01
5.000249948352575302e-03,1.105086445808410645e+00,8.994772434234619141e-01,1.104907512664794922e+00,8.130355477333068848e-01,1.104953765869140625e+00,8.391419053077697754e-01,1.105227947235107422e+00,9.670041203498840332e-01
6.000299938023090363e-03,1.105985879898071289e+00,8.629892468452453613e-01,1.105720520019531250e+00,7.610027790069580078e-01,1.105792880058288574e+00,7.938999533653259277e-01,1.106194972991943359e+00,9.422044754028320312e-01
7.000349927693605423e-03,1.106848835945129395e+00,8.276202082633972168e-01,1.106481552124023438e+00,7.106180191040039062e-01,1.106586813926696777e+00,7.506981492042541504e-01,1.107137203216552734e+00,9.179654717445373535e-01
8.000399917364120483e-03,1.107676506042480469e+00,7.933353185653686523e-01,1.107192158699035645e+00,6.618263125419616699e-01,1.107337474822998047e+00,7.094345092773437500e-01,1.108055114746093750e+00,8.942715525627136230e-01
9.000450372695922852e-03,1.108469843864440918e+00,7.601009607315063477e-01,1.107854008674621582e+00,6.145748496055603027e-01,1.108046889305114746e+00,6.700130105018615723e-01,1.108949422836303711e+00,8.711076378822326660e-01
1.000049989670515060e-02,1.109229922294616699e+00,7.278845906257629395e-01,1.108468532562255859e+00,5.688127875328063965e-01,1.108716845512390137e+00,6.323432326316833496e-01,1.109820485115051270e+00,8.484592437744140625e-01
1.100055035203695297e-02,1.109957814216613770e+00,6.966546773910522461e-01,1.109037399291992188e+00,5.244911313056945801e-01,1.109349131584167480e+00,5.963398814201354980e-01,1.110668897628784180e+00,8.263123631477355957e-01
1.200059987604618073e-02,1.110654473304748535e+00,6.663807630538940430e-01,1.109561920166015625e+00,4.815627038478851318e-01,1.109945416450500488e+00,5.619224905967712402e-01,1.111495256423950195e+00,8.046534657478332520e-01
1.300065033137798309e-02,1.111320853233337402e+00,6.370332241058349609e-01,1.110043525695800781e+00,4.399820864200592041e-01,1.110507369041442871e+00,5.290150046348571777e-01,1.112299919128417969e+00,7.834694981575012207e-01
1.400069985538721085e-02,1.111957907676696777e+00,6.085835099220275879e-01,1.110483527183532715e+00,3.997054994106292725e-01,1.111036419868469238e+00,4.975456297397613525e-01,1.113083362579345703e+00,7.627478241920471191e-01
1.500075031071901321e-02,1.112566471099853516e+00,5.810038447380065918e-01,1.110883235931396484e+00,3.606907725334167480e-01,1.111533999443054199e+00,4.674464464187622070e-01,1.113846063613891602e+00,7.424762248992919922e-01
1.600079983472824097e-02,1.113147497177124023e+00,5.542674660682678223e-01,1.111243963241577148e+00,3.228972256183624268e-01,1.112001419067382812e+00,4.386532008647918701e-01,1.114588499069213867e+00,7.226428985595703125e-01
1.700085029006004333e-02,1.113701820373535156e+00,5.283483266830444336e-01,1.111566901206970215e+00,2.862856388092041016e-01,1.112440109252929688e+00,4.111050665378570557e-01,1.115311145782470703e+00,7.032364606857299805e-01
1.800090074539184570e-02,1.114230155944824219e+00,5.032213330268859863e-01,1.111853241920471191e+00,2.508181631565093994e-01,1.112851262092590332e+00,3.847444057464599609e-01,1.116014361381530762e+00,6.842458844184875488e-01
1.900094933807849884e-02,1.114733338356018066e+00,4.788620471954345703e-01,1.112104058265686035e+00,2.164582908153533936e-01,1.113235950469970703e+00,3.595166206359863281e-01,1.116698622703552246e+00,6.656605005264282227e-01
2.000099979341030121e-02,1.115212202072143555e+00,4.552468955516815186e-01,1.112320542335510254e+00,1.831708103418350220e-01,1.113595485687255859e+00,3.353699147701263428e-01,1.117364287376403809e+00,6.474699974060058594e-01
2.100105024874210358e-02,1.115667462348937988e+00,4.323530197143554688e-01,1.112503767013549805e+00,1.509217172861099243e-01,1.113930821418762207e+00,3.122551441192626953e-01,1.118011713027954102e+00,6.296643614768981934e-01
2.200110070407390594e-02,1.116099834442138672e+00,4.101582467555999756e-01,1.112654685974121094e+00,1.196781992912292480e-01,1.114243030548095703e+00,2.901256680488586426e-01,1.118641376495361328e+00,6.122339367866516113e-01
2.300114929676055908e-02,1.116510033607482910e+00,3.886411190032958984e-01,1.112774372100830078e+00,8.940854668617248535e-02,1.114533185958862305e+00,2.689371705055236816e-01,1.119253635406494141e+00,5.951693654060363770e-01
2.400119975209236145e-02,1.116898655891418457e+00,3.677808642387390137e-01,1.112863779067993164e+00,6.008215993642807007e-02,1.114802122116088867e+00,2.486476004123687744e-01,1.119848847389221191e+00,5.784615278244018555e-01
2.500125020742416382e-02,1.117266416549682617e+00,3.475573658943176270e-01,1.112923860549926758e+00,3.166946768760681152e-02,1.115050792694091797e+00,2.292169332504272461e-01,1.120427250862121582e+00,5.621016621589660645e-01
2.600130066275596619e-02,1.117614030838012695e+00,3.279510736465454102e-01,1.112955570220947266e+00,4.141895100474357605e-03,1.115280032157897949e+00,2.106071114540100098e-01,1.120989322662353516e+00,5.460811853408813477e-01
2.700134925544261932e-02,1.117941975593566895e+00,3.089431226253509521e-01,1.112959742546081543e+00,-2.252816222608089447e-02,1.115490674972534180e+00,1.927819550037384033e-01,1.121535420417785645e+00,5.303918719291687012e-01
2.800139971077442169e-02,1.118250966072082520e+00,2.905151844024658203e-01,1.112937211990356445e+00,-4.836738482117652893e-02,1.115683436393737793e+00,1.757069975137710571e-01,1.122065782546997070e+00,5.150257349014282227e-01
2.900145016610622406e-02,1.118541479110717773e+00,2.726494967937469482e-01,1.112888813018798828e+00,-7.340157032012939453e-02,1.115859150886535645e+00,1.593494415283203125e-01,1.122580766677856445e+00,4.999749362468719482e-01
3.000150062143802643e-02,1.118814110755920410e+00,2.553288936614990234e-01,1.112815380096435547e+00,-9.765565395355224609e-02,1.116018533706665039e+00,1.436780542135238647e-01,1.123080730438232422e+00,4.852319657802581787e-01
